7,J,"Piccadilly Gardens, Portland Street/Chorlton St (NE-bound)‎","53.47907,-2.23801",Into town,,Bus Pole,8,2,http://www.flickr.com/photos/madlabuk/5736858671/in/set-72157626752827976,Bright Red,
9,A,"Manchester City Centre, Corporation St","53.48550,-2.2420",Out of town,,Seat,6,1,http://www.flickr.com/photos/madlabuk/5737405384/in/set-72157626752827976/,Off white,
9,B,"Manchester City Centre, Corporation St","53.48550,-2.2420",Out of town,,Timetable,10,2,http://www.flickr.com/photos/madlabuk/5737405562/in/set-72157626752827976,Off white,
9,C,"Manchester City Centre, Corporation Street/Withy Gr","53.48566,-2.2415",Into town,,Seat,7,2,http://www.flickr.com/photos/madlabuk/5736855187/in/set-72157626752827976,Off white,
9,D,"Manchester City Centre, Corporation Street/Withy Gr","53.48566,-2.2415",Into town,,Timetable,2,1,http://www.flickr.com/photos/madlabuk/5736855011/in/set-72157626752827976,Off white,
9,E,"Newtown, Rochdale Road/Miller Street","53.48663,-2.2358",Out of town,,Seat,17,1,http://www.flickr.com/photos/madlabuk/5737405086/in/set-72157626752827976,Off white,
9,F,"Newtown, Rochdale Road/Miller Street","53.48566,-2.2415",Out of town,,Timetable,23,3,http://www.flickr.com/photos/madlabuk/5736854061/in/set-72157626752827976,Off white,
9,G,"Newtown, Rochdale Road/Thompson Street","53.48741,-2.2336",Into town,,Timetable,20,1,http://www.flickr.com/photos/madlabuk/5736855409/in/set-72157626752827976,Off white,
9,H,"Newtown, opp Royal Mail Rochdale Road/Suddell Street‎","53.48825,-2.2321",Out of town,,Seat,5,1,http://www.flickr.com/photos/madlabuk/5736854771/in/set-72157626752827976,Off white,
9,I,"Newtown, opp Royal Mail Rochdale Road/Suddell Street‎","53.48566,-2.2415",Out of town,,Timetable,12,1,http://www.flickr.com/photos/madlabuk/5737405722/in/set-72157626752827976,Off white,
10,A,St Peters Square (Stop SZ),"53.4775, -2.2434",out of town,180,Seat,>500,5,http://www.flickr.com/photos/madlabuk/5735194900/in/set-72157626752827976,orange,
10,B,St Peters Square (Stop SZ),"53.4775, -2.2434",out of town,180,Map,79,3,http://www.flickr.com/photos/madlabuk/5734645055/in/set-72157626752827976,off white,
10,C,Mount Street (Stop SK),"53.4772, -2.2458",Into town,232,Map,14,1,"http://www.flickr.com/photos/madlabuk/5734643727/in/set-72157626752827976",off white,
10,D,Mount Street (Stop SK),"53.4772, -2.2458",Into town,232,Seat,64,6,"http://www.flickr.com/photos/madlabuk/5735193750/in/set-72157626752827976",light orange,
10,E,"Mount Street Central (Stop SG)","53.4783, -2.2455",Into town,114,Map,24,3,http://www.flickr.com/photos/madlabuk/5734644801/in/set-72157626752827976,black,
10,F,Mount Street Central (Stop SG),"53.4783, -2.2455",Into town,114,Time Table,8,2,"http://www.flickr.com/photos/madlabuk/5734644481/in/set-72157626752827976",white,
10,G,"Albert Square (Stop WD)","53.4794, -2.2458",Into town,109,Time Table,2,2,"http://www.flickr.com/photos/madlabuk/5735192874/in/set-72157626752827976",off white,
10,H,Albert Square (Stop WD),"53.4794, -2.2458",Into town,109,Time Table,3,3,"http://www.flickr.com/photos/madlabuk/5735192614/in/set-72157626752827976",off white,
10,I,"Princess Street, Town Hall (Stop SA)","53.4795, -2.2438",Into town,74,Map,46,5,"http://www.flickr.com/photos/madlabuk/5734640859/in/set-72157626752827976",white,
10,J,"Princess Street, Town Hall (Stop SA)","53.4795, -2.2438",Into town,74,Seat,29,3,"http://www.flickr.com/photos/madlabuk/5734640951/in/set-72157626752827976",light yellow,
